,SeedType,GameST,GameCity,TopSeed,TopST,TopCity,TopTravel,TopGames,TopFG,TopFGA,TopFGPer,Top3P,Top3PA,Top3Per,Top2P,Top2PA,Top2Per,TopPTs,TopOppPTS,TopAST,TopORB,TopDRB,TopPoss,TopTSPer,TopEFGPer,TopTOV,TopTOPer,TopFT,TopFTA,TopFTR,TopORTG,TopDRTG,TopSOS,TopRPI,BotSeed,BotST,BotCity,BotTravel,BotGames,BotFG,BotFGA,BotFGPer,Bot3P,Bot3PA,Bot3Per,Bot2P,Bot2PA,Bot2Per,BotPTs,BotOppPTS,BotAST,BotORB,BotDRB,BotPoss,BotTSPer,BotEFGPer,BotTOV,BotTOPer,BotFT,BotFTA,BotFTR,BotORTG,BotDRTG,BotSOS,BotRPI
23,SixEleven,TX,Dallas,Florida,FL,Gainesville,1579.683,32,841,1937,0.434,292,778,0.375,549,1159,0.434,2434,2222,415,345,779,2508,0.548544127,0.509550852,315,0.125598086,460,640,0.330407847,0.970494418,0.885964912,10.2,47,St. Bonaventure,NY,St+Bonaventure,2203.717,32,844,1850,0.456,248,623,0.398,596,1227,0.456,2493,2272,455,331,807,2512.6,0.573061292,0.523243243,367,0.146063838,557,739,0.399459459,0.992199315,0.904242617,2.08,22
24,SixEleven,TX,Dallas,Florida,FL,Gainesville,1579.683,32,841,1937,0.434,292,778,0.375,549,1159,0.434,2434,2222,415,345,779,2508,0.548544127,0.509550852,315,0.125598086,460,640,0.330407847,0.970494418,0.885964912,10.2,47,UCLA,CA,Los+Angeles,2311.721,32,906,1964,0.461,300,783,0.383,606,1181,0.461,2621,2442,482,330,912,2625,0.576246592,0.537678208,379,0.144380952,509,705,0.358961303,0.99847619,0.930285714,7.27,41
25,ThreeFourteen,TX,Dallas,Texas Tech,TX,Lubbock,556.285,33,863,1859,0.464,232,634,0.366,631,1225,0.464,2483,2135,447,361,821,2570.6,0.567267975,0.526627219,412,0.160273866,525,749,0.402904788,0.965922353,0.830545398,9.03,24,Stephen F. Austin,TX,Nacogdoches,261.989,34,982,2012,0.488,237,637,0.372,745,1375,0.488,2759,2316,490,395,822,2855.4,0.584523991,0.546968191,527,0.184562583,558,791,0.393141153,0.966239406,0.811094768,-7,105
26,SevenTen,MI,Detroit,Arkansas,AR,Fayetteville,1425.076,34,985,2063,0.477,265,663,0.4,720,1400,0.477,2757,2568,492,346,837,2745,0.573944542,0.541686864,374,0.136247723,522,770,0.37324285,1.004371585,0.935519126,10.13,30,Butler,IN,Indianapolis,461.137,33,964,2041,0.472,270,759,0.356,694,1282,0.472,2611,2402,462,303,822,2624.4,0.573382407,0.538461538,369,0.140603567,413,536,0.262616365,0.994894071,0.915256821,10.12,42
27,TwoFifteen,MI,Detroit,Purdue,IN,West+Lafayette,446.774,34,958,1928,0.497,326,776,0.42,632,1152,0.497,2759,2232,568,287,904,2569.4,0.617435907,0.581431535,363,0.141278119,517,696,0.360995851,1.073791547,0.868685296,8.66,9,Cal State Fullerton,CA,Fullerton,3656.639,31,786,1671,0.47,163,482,0.338,623,1189,0.47,2270,2171,396,274,815,2400.6,0.569847773,0.519150209,438,0.182454386,535,729,0.436265709,0.945596934,0.904357244,-1.52,129
28,OneSixteen,KS,Wichita,Kansas,KS,Lawrence,261.897,34,1024,2058,0.498,345,857,0.403,679,1201,0.498,2771,2412,578,325,872,2670.6,0.603661618,0.581389699,397,0.148655733,378,539,0.261904762,1.037594548,0.903167827,11.45,4,Pennsylvania,PA,Philadelphia,2123.348,31,847,1841,0.46,272,784,0.347,575,1057,0.46,2378,2133,482,275,902,2461.4,0.562377024,0.533948941,372,0.151133501,412,621,0.337316676,0.966116844,0.866579995,-3.95,108
29,EightNine,KS,Wichita,Seton Hall,NJ,South+Orange,2203.879,32,914,1950,0.469,233,640,0.364,681,1310,0.469,2528,2346,506,385,838,2629.6,0.562637989,0.528461538,410,0.15591725,467,674,0.345641026,0.961362945,0.892150897,9.82,33,NC State,NC,Raleigh,1943.337,32,937,1993,0.47,252,677,0.372,685,1316,0.47,2599,2383,517,390,752,2653,0.567467249,0.533366784,390,0.147003392,473,675,0.338685399,0.979645684,0.898228421,6.76,66
30,FiveTwelve,CA,San+Diego,Clemson,SC,Clemson,3642.31,32,809,1786,0.453,266,726,0.366,543,1060,0.453,2345,2106,422,286,850,2416.6,0.570848507,0.52743561,387,0.160142349,461,609,0.340985442,0.970371596,0.871472316,9.05,11,New Mexico State,NM,Las+Cruces,1099.439,33,939,2042,0.46,249,748,0.333,690,1294,0.46,2504,2104,467,419,949,2694.4,0.544385696,0.520812929,418,0.15513658,377,586,0.286973555,0.929334917,0.78087886,-1.38,35
31,FourThirteen,CA,San+Diego,Auburn,AL,Auburn,3312.895,32,868,1977,0.439,312,852,0.366,556,1125,0.439,2668,2346,462,388,834,2685.6,0.573970811,0.5179565,393,0.146336014,620,789,0.39908953,0.99344653,0.873547811,7.48,16,Charleston,WV,Charleston,3725.784,33,852,1854,0.46,254,699,0.363,598,1155,0.46,2478,2269,377,280,809,2446,0.574835297,0.528047465,318,0.130008177,520,685,0.369471413,1.013082584,0.927636958,-3.79,57
32,SixEleven,MI,Detroit,TCU,TX,Fort+Worth,1958.918,32,960,1925,0.499,271,677,0.4,689,1248,0.499,2656,2430,601,357,809,2593.8,0.599797659,0.569090909,406,0.156527103,465,657,0.341298701,1.023980261,0.93684941,9.98,25,Arizona State,AZ,Tempe,3179.87,31,867,1867,0.464,277,760,0.364,590,1107,0.464,2589,2335,439,307,786,2513.2,0.585344017,0.538564542,333,0.132500398,578,783,0.419389395,1.030160751,0.929094382,6.82,69
